GEOID,NAME,T2_EST1,T8_LE80,T8_LE50_CB_PCT,T8_LE80_CB_PCT,T8_LE30_CB_PCT,CB_RENT_LE80,CB_OWN_LE80,OWN_GAP_RATIO,AFF_DEFICIT,MED_HH_INC,POVERTY_PCT,UNEMP_PCT,CB_PCT,VACANCY_PCT,SFD_PCT,MED_HOME_VAL,HB_UNITS,OR_UNITS,TOTAL_UNITS,TOTAL_AMT_K,LOWMODPCT,LMI_ELIGIBLE,HAS_HOME_INVEST,HAS_HB_INVEST,NEED_SCORE,DISP_SCORE,INV_SCORE,LMI_SCORE
48439113638,Census Tract 1136.38,755,280,89.29,85.71,89.29,195,45,0.81,0.91,70230.0,9.39,10.66,35.71,0.0,39.55,258300.0,,,,,,False,False,False,50.18,84.53,,0.0
48439113509,Census Tract 1135.09,1695,855,82.26,50.29,89.36,285,150,0.66,0.48,57462.0,9.03,4.65,28.89,0.0,82.19,133300.0,5.0,21.0,26.0,344.01,61.29,True,True,True,59.12,59.48,58.51,100.0
48439113511,Census Tract 1135.11,1390,660,82.5,57.58,100.0,320,60,0.84,0.76,58571.0,5.23,5.53,32.66,1.35,65.37,209000.0,0.0,2.0,2.0,43.8,26.5,False,True,False,56.08,76.98,18.75,36.37
48439113512,Census Tract 1135.12,2515,1065,84.62,68.54,67.39,605,120,0.83,0.72,60335.0,5.82,3.81,36.49,7.81,42.65,184900.0,0.0,3.0,3.0,47.57,34.05,False,True,False,50.98,60.38,20.38,46.74
48439113513,Census Tract 1135.13,2075,910,94.44,62.64,82.61,445,135,0.77,0.69,59919.0,5.07,2.25,31.26,9.66,56.92,193800.0,1.0,11.0,12.0,226.45,34.81,False,True,True,58.52,52.6,37.32,47.78
48439113908,Census Tract 1139.08,1585,100,31.67,43.0,26.67,0,43,0.0,0.7,237256.0,0.84,2.48,16.35,0.63,99.18,645700.0,0.0,0.0,0.0,0.0,5.41,False,False,False,3.31,50.43,10.87,7.43
48439104502,Census Tract 1045.02,1035,685,45.35,35.04,43.75,164,74,0.69,0.46,46645.0,17.82,2.7,22.94,10.25,72.81,77200.0,20.0,11.0,34.0,843.35,79.73,True,True,True,35.82,37.1,76.81,100.0
48439103701,Census Tract 1037.01,1345,1095,37.5,20.09,42.62,105,110,0.49,0.36,44611.0,23.12,4.03,18.29,6.73,90.36,88300.0,33.0,3.0,37.0,553.13,83.68,True,True,True,46.5,31.92,85.14,100.0
48439103800,Census Tract 1038,1125,965,62.69,54.92,54.67,420,110,0.79,0.63,31426.0,32.85,5.18,47.46,17.43,78.38,104000.0,45.0,2.0,58.0,1829.41,84.88,True,True,True,52.03,42.98,91.85,100.0
48439103702,Census Tract 1037.02,990,745,55.56,40.27,52.08,195,110,0.64,0.52,45096.0,24.85,20.97,30.95,8.99,95.41,73700.0,28.0,13.0,42.0,1311.25,74.8,True,True,True,43.48,40.25,85.05,100.0
